reviewerID,review,stars
A3Y51NV9HU5T2,"Four Stars: Great pasta taste and feel, but the spell in the packaged is SKRONG!",4
A3D7EFSRC6Y9MP,"Okay but don't like texture: The texture just made it a little strange to eat. Otherwise the flavor is okay, very bland so add spices.",3
A4AM5KBP3I2R,Go for the green noodles: The herb flavor makes the odd texture of shirataki much more palatable.,5
A3GHK4IL78DB7Y,"Its an awesome substitute.: I didn't have a problem at all with a half filled bag or anything that other users said. I was concerned at first but I took a chance and there were no problems.
I find the best way to get rid of the initial smell is to boil it will a cube of bouillon. The texture is really good and I don't notice it at all. I could replace every noodle I ever eat with these and I wouldnt mind!",5
AH3B94LQOPPY6,Five Stars: They taste like whatever you cook them with. ,5
A2H67TFYT5QSIZ,"Love them!: Coming from an Italian girl who can't resist a pasta dish, these have been my savior for when I'm avoiding carbs but still want a tasty meal. Yes they smell a little funky when you first open the package but it goes away after rincing in water. I don't even miss regular pasta anymore, these are my go-to. Love them!!",5
A3HR3J6SE2H55Q,"tastes okay: The taste is just okay, but what do you really expect for zero calories?  I ate them for lunch most days while dieting, usually with a little fat free italian dressing (35 calories.)  And yeah, it wasn't a gourmet meal, but I lost 20 lbs, and didn't have to feel hungry.  I'm pretty sick of them now, but I do have another 20 or so to lose so I might go for it again.

The smell- it's really just the liquid it's packed in.  Rinse them for about 5 minutes and don't go out of your way to smell it.  It goes away so it's really not a big deal.",5
A2WW04WY38AJIE,"How do you rate noodles: I like the noodles.  How do you rate such a thing.  Invest a few dollars and try a package or 2.  I can't tell anyone else what they will like.  I know some people who consider them tasteless.  I think they are very good.  They are bland, like any noodle but they have a taste and are very versatile.  I think you can use them as a replacement in any noodle recipe.",4
ABXPARMCPVD2M,Five Stars: It's got a smell to it but once you rinse the rice it's good,5
A8T2QOLXSTRJ7,Not too bad.: Rinse them thoroughly before using band they're not bad. I like being able to not make zucchini spirals and just have lazier pasta without the guilt. My kids wouldn't touch them with a 10ft pole.,3
A1GXGHMSY5OP2O,NOT A GOOD TASTE: Taste so bad.,2
ADT1AJREFFG0X,"Great pasta alternative: Great low calorie, healthy pasta alternative for anyone watching carbs.",5
A6NOJK8L50EAA,the noodles and rice fill like rubber in texture and don't absorb the cooking sauce: the noodles and rice fill like rubber in texture and don't absorb the cooking sauce. I will go back to using spagetti squash and brown rice.,2
A26RU99Z7SCFP3,Two Stars: Not good lol. Like not god at all.,2
A3SN6DR8NWPKH,"Hooked on the spaghetti.: Loved the thin noodles but was not a fan of the fettuccine- they were just too thick. I will definitely be ordering more of the spaghetti though. Once you find the best balance of how long to boil them and then dry them, they actually taste better than regular noodles.",4
A3PZTCK56OXCJU,One Star: Taste like sewage,1
